customer_id,asset_type,allocation_percent,value,risk_score,age_group,risk_category
CUST_00013,Bonds,11.93,76077.11,2.51,46-60,Low
CUST_00013,Real Estate,20.61,25083.16,2.6,31-45,Low
CUST_00013,Commodities,49.13,81454.81,7.15,46-60,High
CUST_00014,Stocks,33.44,30174.61,5.13,18-30,Medium
CUST_00014,Bonds,17.22,62956.13,1.86,46-60,Low
CUST_00014,Real Estate,12.08,1491.63,3.1,18-30,Medium
CUST_00014,Commodities,37.26,65371.98,9.52,18-30,Very High
CUST_00015,Stocks,27.16,26743.51,9.92,46-60,Very High
CUST_00015,Bonds,7.92,24573.59,3.77,18-30,Medium
CUST_00015,Real Estate,21.26,14105.58,7.15,18-30,High
CUST_00015,Commodities,43.66,37882.21,3.45,31-45,Medium
CUST_00016,Stocks,21.42,5005.48,5.04,46-60,Medium
CUST_00016,Bonds,16.77,94056.79,2.46,60+,Low
CUST_00016,Real Estate,38.76,32679.67,1.74,60+,Low
CUST_00016,Commodities,23.04,16381.91,4.42,31-45,Medium
CUST_00017,Stocks,16.82,56984.5,9.07,31-45,Very High
CUST_00017,Bonds,9.6,51313.42,4.77,18-30,Medium
CUST_00017,Real Estate,23.26,49156.23,6.71,60+,High
CUST_00017,Commodities,50.32,31243.03,5.49,18-30,Medium
CUST_00018,Stocks,30.1,48268.37,2.25,31-45,Low
CUST_00018,Bonds,18.11,33497.2,5.76,18-30,Medium
CUST_00018,Real Estate,23.7,85102.56,4.24,60+,Medium
CUST_00018,Commodities,28.09,78751.63,1.47,18-30,Low
CUST_00019,Stocks,24.37,42275.66,6.09,18-30,High
CUST_00019,Bonds,11.91,56615.97,8.31,18-30,Very High
CUST_00019,Real Estate,29.53,45126.81,9.34,46-60,Very High
CUST_00019,Commodities,34.2,93046.55,8.85,18-30,Very High
CUST_00020,Stocks,8.0,48658.75,8.25,18-30,Very High
CUST_00020,Bonds,17.98,1774.99,3.97,46-60,Medium
CUST_00020,Real Estate,39.07,49773.45,5.14,18-30,Medium
CUST_00020,Commodities,34.95,19326.32,8.63,46-60,Very High
CUST_00021,Stocks,33.25,59393.95,5.8,46-60,Medium
CUST_00021,Bonds,37.54,21135.56,9.64,31-45,Very High
CUST_00021,Real Estate,19.06,13151.08,5.07,31-45,Medium
CUST_00021,Commodities,10.15,32384.85,2.17,60+,Low
CUST_00022,Stocks,33.17,73838.75,7.96,60+,High
CUST_00022,Bonds,23.05,79168.29,7.47,18-30,High
CUST_00022,Real Estate,29.11,4093.72,6.31,18-30,High
CUST_00022,Commodities,14.67,89610.25,4.93,60+,Medium
CUST_00023,Stocks,29.66,87152.4,8.47,60+,Very High
CUST_00023,Bonds,19.05,29584.84,4.85,18-30,Medium
CUST_00023,Real Estate,31.45,9533.52,1.96,18-30,Low
CUST_00023,Commodities,19.84,82282.34,8.08,60+,Very High
CUST_00024,Stocks,7.75,13808.99,4.18,60+,Medium
CUST_00024,Bonds,11.58,76322.53,8.0,46-60,High
CUST_00024,Real Estate,27.21,38380.02,6.56,18-30,High
CUST_00024,Commodities,53.46,47668.65,3.12,60+,Medium
CUST_00025,Stocks,26.97,55906.07,8.76,60+,Very High
CUST_00025,Bonds,29.21,51680.26,1.15,60+,Low
CUST_00025,Real Estate,31.87,78824.67,4.15,18-30,Medium
CUST_00025,Commodities,11.95,82439.08,2.31,18-30,Low
CUST_00026,Stocks,30.61,86715.54,7.75,18-30,High
CUST_00026,Bonds,11.9,62065.72,6.2,60+,High
CUST_00026,Real Estate,5.74,50665.88,5.5,31-45,Medium
CUST_00026,Commodities,51.75,90471.12,1.13,46-60,Low
CUST_00027,Stocks,30.61,40342.69,8.04,60+,Very High
CUST_00027,Bonds,12.38,13033.32,5.17,46-60,Medium
CUST_00027,Real Estate,21.94,46693.38,2.02,60+,Low
CUST_00027,Commodities,35.07,56384.09,3.19,31-45,Medium
CUST_00028,Stocks,33.23,32329.36,9.35,31-45,Very High
CUST_00028,Bonds,25.85,31208.2,3.22,18-30,Medium
CUST_00028,Real Estate,19.38,30585.99,8.74,46-60,Very High
CUST_00028,Commodities,21.54,73779.78,4.1,46-60,Medium
CUST_00029,Stocks,12.15,42320.74,2.24,31-45,Low
CUST_00029,Bonds,16.94,51105.71,7.21,46-60,High
CUST_00029,Real Estate,9.79,6881.12,7.43,60+,High
CUST_00029,Commodities,61.12,53436.5,1.44,60+,Low
CUST_00030,Stocks,15.36,36854.89,6.79,46-60,High
CUST_00030,Bonds,25.15,35427.34,8.92,18-30,Very High
CUST_00030,Real Estate,39.05,69184.72,4.71,60+,Medium
CUST_00030,Commodities,20.44,7315.84,9.9,31-45,Very High
CUST_00031,Stocks,8.02,39877.36,7.5,31-45,High
CUST_00031,Bonds,10.71,78637.41,6.24,46-60,High
CUST_00031,Real Estate,20.65,62713.92,4.44,18-30,Medium
CUST_00031,Commodities,60.61,53409.52,8.6,18-30,Very High
CUST_00032,Stocks,36.21,9538.11,6.29,46-60,High
CUST_00032,Bonds,36.06,32345.85,1.5,60+,Low
CUST_00032,Real Estate,17.41,13410.81,8.22,60+,Very High
CUST_00032,Commodities,10.33,77986.38,8.12,46-60,Very High
CUST_00033,Stocks,24.66,97640.24,2.68,46-60,Low
CUST_00033,Bonds,17.66,27134.03,5.43,18-30,Medium
CUST_00033,Real Estate,31.74,47966.07,8.06,31-45,Very High
CUST_00033,Commodities,25.93,38763.14,4.64,31-45,Medium
CUST_00034,Stocks,6.86,59438.33,2.43,18-30,Low
CUST_00034,Bonds,15.44,76412.7,3.0,18-30,Low
CUST_00034,Real Estate,12.25,27809.91,2.86,60+,Low
CUST_00034,Commodities,65.44,7914.04,9.32,60+,Very High
CUST_00035,Stocks,35.51,76363.11,2.36,31-45,Low
CUST_00035,Bonds,30.68,47242.9,5.04,18-30,Medium
CUST_00035,Real Estate,14.2,58684.42,4.91,31-45,Medium
CUST_00035,Commodities,19.61,58899.72,7.85,46-60,High
CUST_00036,Stocks,7.0,83936.27,1.3,60+,Low
CUST_00036,Bonds,7.36,68249.42,7.49,60+,High
CUST_00036,Real Estate,7.05,8531.15,9.86,46-60,Very High
CUST_00036,Commodities,78.59,42302.81,1.53,46-60,Low
CUST_00037,Stocks,25.53,80691.25,8.23,31-45,Very High
CUST_00037,Bonds,14.86,54912.34,4.23,46-60,Medium
CUST_00037,Real Estate,38.27,47066.19,9.0,46-60,Very High
CUST_00037,Commodities,21.34,70193.99,2.32,60+,Low
CUST_00038,Stocks,6.09,75805.18,9.22,60+,Very High
CUST_00038,Bonds,21.69,35577.37,8.09,31-45,Very High
CUST_00038,Real Estate,18.02,14560.11,3.61,31-45,Medium
CUST_00038,Commodities,54.2,64779.76,2.86,31-45,Low
CUST_00039,Stocks,22.9,79145.12,8.68,60+,Very High
CUST_00039,Bonds,29.51,98928.19,4.79,46-60,Medium
CUST_00039,Real Estate,18.97,68027.3,5.18,46-60,Medium
CUST_00039,Commodities,28.62,71696.88,9.77,46-60,Very High
CUST_00040,Stocks,33.81,67620.19,1.92,60+,Low
CUST_00040,Bonds,15.26,76201.67,1.84,46-60,Low
CUST_00040,Real Estate,6.22,70532.89,4.28,60+,Medium
CUST_00040,Commodities,44.7,99270.71,6.52,18-30,High
CUST_00041,Stocks,11.28,20579.48,3.95,18-30,Medium
CUST_00041,Bonds,10.95,20267.85,8.15,60+,Very High
CUST_00041,Real Estate,32.03,20808.09,9.85,46-60,Very High
CUST_00041,Commodities,45.74,87699.9,7.1,46-60,High
CUST_00042,Stocks,28.46,55073.08,8.24,18-30,Very High
CUST_00042,Bonds,31.37,48400.69,9.51,46-60,Very High
CUST_00042,Real Estate,16.2,29450.05,5.58,18-30,Medium
CUST_00042,Commodities,23.97,72658.04,4.91,18-30,Medium
CUST_00043,Stocks,25.01,26623.24,1.44,46-60,Low
CUST_00043,Bonds,25.49,4344.25,4.86,60+,Medium
CUST_00043,Real Estate,36.78,81195.29,9.05,31-45,Very High
CUST_00043,Commodities,12.73,69529.45,9.99,60+,Very High
CUST_00044,Stocks,25.03,5300.18,4.03,46-60,Medium
CUST_00044,Bonds,38.74,34571.99,9.13,60+,Very High
CUST_00044,Real Estate,24.79,65867.72,3.74,18-30,Medium
CUST_00044,Commodities,11.45,48601.62,4.11,18-30,Medium
CUST_00045,Stocks,31.43,3645.88,6.97,18-30,High
CUST_00045,Bonds,8.57,10832.18,2.68,18-30,Low
CUST_00045,Real Estate,18.84,63578.17,1.65,60+,Low
CUST_00045,Commodities,41.15,98095.05,1.72,46-60,Low
CUST_00046,Stocks,16.06,74382.07,5.33,31-45,Medium
CUST_00046,Bonds,19.62,17288.81,8.71,60+,Very High
CUST_00046,Real Estate,30.09,57726.6,7.74,60+,High
CUST_00046,Commodities,34.23,65123.86,7.55,46-60,High
CUST_00047,Stocks,11.9,98565.97,7.44,31-45,High
CUST_00047,Bonds,28.03,18306.42,5.8,46-60,Medium
CUST_00047,Real Estate,10.21,52762.96,2.59,18-30,Low
CUST_00047,Commodities,49.85,54093.87,3.35,60+,Medium
CUST_00048,Stocks,19.77,80089.24,4.46,46-60,Medium
CUST_00048,Bonds,11.36,71964.21,1.86,18-30,Low
CUST_00048,Real Estate,32.13,24690.98,1.37,46-60,Low
CUST_00048,Commodities,36.73,91581.27,2.18,46-60,Low
CUST_00049,Stocks,38.23,73802.23,7.27,60+,High
CUST_00049,Bonds,32.06,81881.96,9.16,31-45,Very High
CUST_00049,Real Estate,9.7,90883.55,5.83,60+,Medium
CUST_00049,Commodities,20.01,80724.21,9.05,60+,Very High
CUST_00050,Stocks,5.73,47593.31,4.55,46-60,Medium
CUST_00050,Bonds,18.1,72362.73,5.75,60+,Medium
CUST_00050,Real Estate,11.35,73398.29,9.21,18-30,Very High
CUST_00050,Commodities,64.82,69947.4,9.68,31-45,Very High
CUST_00051,Stocks,33.13,27952.15,2.44,46-60,Low
CUST_00051,Bonds,22.1,15519.66,2.13,46-60,Low
CUST_00051,Real Estate,14.21,63664.27,2.5,60+,Low
CUST_00051,Commodities,30.57,41954.12,6.66,18-30,High
CUST_00052,Stocks,12.33,52435.6,5.6,60+,Medium
CUST_00052,Bonds,6.56,74566.89,1.81,60+,Low
CUST_00052,Real Estate,36.56,22951.84,9.98,31-45,Very High
CUST_00052,Commodities,44.54,13441.92,8.0,18-30,High
CUST_00053,Stocks,14.37,26731.34,3.12,60+,Medium
CUST_00053,Bonds,31.05,57072.15,5.05,18-30,Medium
CUST_00053,Real Estate,9.61,68363.2,2.52,46-60,Low
CUST_00053,Commodities,44.97,32723.92,7.49,18-30,High
CUST_00054,Stocks,8.52,91902.01,4.1,60+,Medium
CUST_00054,Bonds,27.24,64015.44,8.46,18-30,Very High
CUST_00054,Real Estate,32.11,26571.41,2.31,31-45,Low
CUST_00054,Commodities,32.12,62671.44,7.86,18-30,High
CUST_00055,Stocks,36.5,70433.12,1.17,46-60,Low
CUST_00055,Bonds,5.42,77138.4,6.64,60+,High
CUST_00055,Real Estate,10.04,78413.64,5.98,60+,Medium
CUST_00055,Commodities,48.04,46039.77,4.49,60+,Medium
CUST_00056,Stocks,16.49,2458.33,5.66,18-30,Medium
CUST_00056,Bonds,9.76,93064.31,7.46,46-60,High
CUST_00056,Real Estate,13.47,74478.18,1.6,31-45,Low
CUST_00056,Commodities,60.28,59513.57,7.04,18-30,High
CUST_00057,Stocks,17.5,17255.22,7.15,18-30,High
CUST_00057,Bonds,8.27,79509.96,2.5,60+,Low
CUST_00057,Real Estate,27.22,7089.6,7.68,18-30,High
CUST_00057,Commodities,47.01,24382.74,3.47,31-45,Medium
CUST_00058,Stocks,22.2,77836.93,7.0,60+,High
CUST_00058,Bonds,19.9,9195.6,8.39,46-60,Very High
CUST_00058,Real Estate,8.5,35365.11,9.39,18-30,Very High
CUST_00058,Commodities,49.4,92886.05,6.4,60+,High
CUST_00059,Stocks,11.51,83585.36,5.4,31-45,Medium
CUST_00059,Bonds,29.25,44456.45,1.27,31-45,Low
CUST_00059,Real Estate,28.62,64322.54,5.74,18-30,Medium
CUST_00059,Commodities,30.61,21664.04,9.56,18-30,Very High
CUST_00060,Stocks,22.13,31880.36,6.54,31-45,High
CUST_00060,Bonds,31.54,19107.82,6.78,46-60,High
CUST_00060,Real Estate,10.57,14406.06,6.54,46-60,High
CUST_00060,Commodities,35.76,95279.84,8.62,60+,Very High
CUST_00061,Stocks,7.85,20160.15,7.36,18-30,High
CUST_00061,Bonds,39.76,39069.57,1.65,18-30,Low
CUST_00061,Real Estate,10.58,59919.95,2.13,46-60,Low
CUST_00061,Commodities,41.81,63233.06,6.88,31-45,High
CUST_00062,Stocks,17.85,51690.46,2.47,18-30,Low
CUST_00062,Bonds,11.82,76251.58,3.22,31-45,Medium
CUST_00062,Real Estate,17.91,14680.88,4.0,31-45,Medium
CUST_00062,Commodities,52.43,80899.44,6.19,18-30,High
CUST_00063,Stocks,39.28,31275.94,9.22,60+,Very High
CUST_00063,Bonds,33.48,16693.58,9.89,31-45,Very High
CUST_00063,Real Estate,6.42,23545.42,1.86,60+,Low
CUST_00063,Commodities,20.81,24798.55,3.75,31-45,Medium
CUST_00064,Stocks,20.51,37538.99,1.43,18-30,Low
CUST_00064,Bonds,26.69,25982.26,8.57,18-30,Very High
CUST_00064,Real Estate,39.76,19846.29,3.49,31-45,Medium
CUST_00064,Commodities,13.03,94912.32,3.53,18-30,Medium
CUST_00065,Stocks,21.52,98499.75,3.1,31-45,Medium
CUST_00065,Bonds,30.31,36363.43,5.92,60+,Medium
CUST_00065,Real Estate,27.42,90209.91,2.41,46-60,Low
CUST_00065,Commodities,20.75,84230.64,7.6,60+,High
CUST_00066,Stocks,19.64,98966.17,3.35,18-30,Medium
CUST_00066,Bonds,25.33,33591.55,6.58,46-60,High
CUST_00066,Real Estate,29.23,63769.49,8.37,31-45,Very High
CUST_00066,Commodities,25.8,95253.14,4.0,60+,Medium
CUST_00067,Stocks,19.99,11342.92,3.3,18-30,Medium
CUST_00067,Bonds,30.98,62631.12,9.9,60+,Very High
CUST_00067,Real Estate,7.51,98594.56,5.39,46-60,Medium
CUST_00067,Commodities,41.52,38035.24,4.73,46-60,Medium
CUST_00068,Stocks,19.63,74652.97,2.28,46-60,Low
CUST_00068,Bonds,24.53,27711.7,1.27,60+,Low
CUST_00068,Real Estate,26.88,72268.29,1.98,60+,Low
CUST_00068,Commodities,28.95,65619.67,4.14,60+,Medium
CUST_00069,Stocks,28.33,96206.18,6.45,31-45,High
CUST_00069,Bonds,33.67,71666.88,5.35,18-30,Medium
CUST_00069,Real Estate,15.43,30326.03,5.11,31-45,Medium
CUST_00069,Commodities,22.57,98996.28,1.0,46-60,Low
CUST_00070,Stocks,7.78,86462.29,6.38,46-60,High
CUST_00070,Bonds,16.09,90722.0,6.12,18-30,High
CUST_00070,Real Estate,17.46,29929.93,2.22,18-30,Low
CUST_00070,Commodities,58.68,16978.48,6.14,46-60,High
CUST_00071,Stocks,29.95,10552.04,6.37,46-60,High
CUST_00071,Bonds,17.29,45655.71,7.21,60+,High
CUST_00071,Real Estate,31.66,64134.76,9.96,60+,Very High
CUST_00071,Commodities,21.1,35055.47,1.87,46-60,Low
CUST_00072,Stocks,14.96,26515.93,5.47,31-45,Medium
CUST_00072,Bonds,26.56,38089.78,4.12,31-45,Medium
CUST_00072,Real Estate,27.24,16206.03,4.63,46-60,Medium
CUST_00072,Commodities,31.24,53684.01,9.75,46-60,Very High
CUST_00073,Stocks,39.01,69895.93,9.35,31-45,Very High
CUST_00073,Bonds,39.83,40072.21,5.98,31-45,Medium
CUST_00073,Real Estate,8.26,98133.14,2.03,18-30,Low
CUST_00073,Commodities,12.9,48969.18,3.69,18-30,Medium
CUST_00074,Stocks,16.8,15741.56,8.31,18-30,Very High
CUST_00074,Bonds,22.95,50817.05,8.05,31-45,Very High
CUST_00074,Real Estate,38.15,77877.8,6.26,60+,High
CUST_00074,Commodities,22.1,3509.28,8.8,18-30,Very High
CUST_00075,Stocks,18.16,65300.63,3.86,46-60,Medium
CUST_00075,Bonds,24.75,85850.6,5.71,60+,Medium
CUST_00075,Real Estate,22.21,58843.37,6.5,60+,High
CUST_00075,Commodities,34.88,98152.61,6.09,60+,High
CUST_00076,Stocks,20.04,74950.99,9.17,46-60,Very High
CUST_00076,Bonds,14.87,93497.76,5.76,46-60,Medium
CUST_00076,Real Estate,19.97,20935.07,6.72,18-30,High
CUST_00076,Commodities,45.12,98314.55,2.32,46-60,Low
CUST_00077,Stocks,8.24,9399.29,8.04,31-45,Very High
CUST_00077,Bonds,6.88,49876.72,7.31,46-60,High
CUST_00077,Real Estate,20.23,36648.94,3.65,60+,Medium
CUST_00077,Commodities,64.65,67213.92,3.25,60+,Medium
CUST_00078,Stocks,7.72,4765.43,9.79,31-45,Very High
CUST_00078,Bonds,22.46,39711.76,2.88,46-60,Low
CUST_00078,Real Estate,19.16,68004.22,9.98,46-60,Very High
CUST_00078,Commodities,50.67,20172.89,4.06,60+,Medium
CUST_00079,Stocks,22.68,59582.83,1.05,60+,Low
CUST_00079,Bonds,26.01,91764.76,1.82,46-60,Low
CUST_00079,Real Estate,26.54,84438.91,3.35,18-30,Medium
CUST_00079,Commodities,24.77,34422.06,1.56,60+,Low
CUST_00080,Stocks,19.99,27581.16,8.26,31-45,Very High
CUST_00080,Bonds,7.94,9596.51,8.93,60+,Very High
CUST_00080,Real Estate,5.58,87035.01,4.16,18-30,Medium
CUST_00080,Commodities,66.49,73631.12,1.78,18-30,Low
CUST_00081,Stocks,34.77,27984.21,1.93,31-45,Low
CUST_00081,Bonds,39.08,81902.51,9.41,18-30,Very High
CUST_00081,Real Estate,10.29,97903.5,8.93,18-30,Very High
CUST_00081,Commodities,15.87,99960.48,1.76,18-30,Low
CUST_00082,Stocks,23.4,47444.61,2.24,31-45,Low
CUST_00082,Bonds,19.42,35853.83,8.4,31-45,Very High
CUST_00082,Real Estate,21.05,18511.84,8.87,46-60,Very High
CUST_00082,Commodities,36.13,81830.26,5.3,31-45,Medium
CUST_00083,Stocks,10.58,67608.87,9.51,46-60,Very High
CUST_00083,Bonds,33.83,99448.09,5.99,31-45,Medium
CUST_00083,Real Estate,14.52,20545.9,9.29,31-45,Very High
CUST_00083,Commodities,41.07,52729.86,1.56,46-60,Low
CUST_00084,Stocks,25.25,33905.57,7.94,60+,High
CUST_00084,Bonds,31.75,25219.64,9.31,18-30,Very High
CUST_00084,Real Estate,12.45,96341.22,7.31,60+,High
CUST_00084,Commodities,30.55,65594.13,5.92,46-60,Medium
CUST_00085,Stocks,10.4,88956.71,2.04,60+,Low
CUST_00085,Bonds,36.89,55821.77,9.52,46-60,Very High
CUST_00085,Real Estate,32.82,35426.4,1.73,31-45,Low
CUST_00085,Commodities,19.89,77383.26,3.84,18-30,Medium
CUST_00086,Stocks,19.66,2090.74,1.86,60+,Low
CUST_00086,Bonds,24.4,10219.11,7.92,18-30,High
CUST_00086,Real Estate,30.89,91070.75,3.08,18-30,Medium
CUST_00086,Commodities,25.05,10517.26,9.58,31-45,Very High
CUST_00087,Stocks,15.05,3032.64,9.35,60+,Very High
CUST_00087,Bonds,14.22,79266.1,1.21,31-45,Low
CUST_00087,Real Estate,18.26,52951.69,9.08,46-60,Very High
CUST_00087,Commodities,52.48,66258.89,5.49,31-45,Medium
CUST_00088,Stocks,5.55,47319.14,8.9,60+,Very High
CUST_00088,Bonds,34.15,77083.66,6.9,31-45,High
CUST_00088,Real Estate,23.57,49589.62,3.95,18-30,Medium
CUST_00088,Commodities,36.73,97949.42,4.14,60+,Medium
CUST_00089,Stocks,13.34,10828.76,2.77,46-60,Low
CUST_00089,Bonds,26.81,24955.49,2.85,60+,Low
CUST_00089,Real Estate,18.96,74043.27,9.64,18-30,Very High
CUST_00089,Commodities,40.89,52497.34,4.38,60+,Medium
CUST_00090,Stocks,35.45,58702.96,2.17,60+,Low
CUST_00090,Bonds,36.7,72627.34,8.43,46-60,Very High
CUST_00090,Real Estate,16.34,93500.95,4.46,18-30,Medium
CUST_00090,Commodities,11.51,16094.56,7.5,60+,High
CUST_00091,Stocks,37.7,41187.84,8.9,31-45,Very High
CUST_00091,Bonds,9.37,46184.69,1.39,60+,Low
CUST_00091,Real Estate,22.05,18114.41,8.58,31-45,Very High
CUST_00091,Commodities,30.88,32735.27,5.86,46-60,Medium
CUST_00092,Stocks,33.7,23569.46,5.45,18-30,Medium
CUST_00092,Bonds,26.74,63017.82,2.7,31-45,Low
CUST_00092,Real Estate,7.25,68755.13,3.86,18-30,Medium
CUST_00092,Commodities,32.31,39451.09,1.43,31-45,Low
CUST_00093,Stocks,8.72,51100.29,3.79,18-30,Medium
CUST_00093,Bonds,36.02,83366.62,3.15,31-45,Medium
CUST_00093,Real Estate,32.88,7092.64,1.97,31-45,Low
CUST_00093,Commodities,22.37,13325.81,5.25,31-45,Medium
CUST_00094,Stocks,31.79,65905.03,1.41,46-60,Low
CUST_00094,Bonds,9.19,78768.15,5.62,31-45,Medium
CUST_00094,Real Estate,6.91,55741.79,8.11,31-45,Very High
CUST_00094,Commodities,52.12,31623.05,3.6,46-60,Medium
CUST_00095,Stocks,24.33,85260.56,8.67,18-30,Very High
CUST_00095,Bonds,36.71,82668.83,1.06,60+,Low
CUST_00095,Real Estate,28.11,45552.21,1.47,60+,Low
CUST_00095,Commodities,10.85,91193.53,6.92,18-30,High
CUST_00096,Stocks,25.8,10494.24,4.61,46-60,Medium
CUST_00096,Bonds,9.63,47238.22,7.8,60+,High
CUST_00096,Real Estate,11.11,83181.91,5.77,31-45,Medium
CUST_00096,Commodities,53.46,80145.43,9.65,31-45,Very High
CUST_00097,Stocks,5.74,27776.54,4.69,31-45,Medium
CUST_00097,Bonds,27.9,40883.33,7.19,31-45,High
CUST_00097,Real Estate,31.02,54181.68,5.96,60+,Medium
CUST_00097,Commodities,35.33,45566.62,7.41,46-60,High
CUST_00098,Stocks,26.62,68166.71,3.17,31-45,Medium
CUST_00098,Bonds,13.57,82834.11,1.64,46-60,Low
CUST_00098,Real Estate,5.45,4270.58,8.62,60+,Very High
CUST_00098,Commodities,54.36,30221.7,6.18,18-30,High
CUST_00099,Stocks,5.36,98215.05,6.99,31-45,High
CUST_00099,Bonds,8.87,50956.3,7.22,31-45,High
CUST_00099,Real Estate,16.06,89083.6,9.61,18-30,Very High
CUST_00099,Commodities,69.7,77361.31,4.65,60+,Medium
CUST_00100,Stocks,39.66,9317.13,1.22,60+,Low
CUST_00100,Bonds,25.38,29578.45,1.34,31-45,Low
CUST_00100,Real Estate,8.62,40310.6,9.04,60+,Very High
CUST_00100,Commodities,26.33,88182.78,6.92,46-60,High
CUST_00101,Stocks,33.64,58322.7,5.52,46-60,Medium
CUST_00101,Bonds,30.5,64150.51,4.66,60+,Medium
CUST_00101,Real Estate,10.88,80038.66,9.63,46-60,Very High
CUST_00101,Commodities,24.98,93923.81,3.74,46-60,Medium
CUST_00102,Stocks,28.69,75580.53,7.13,60+,High
CUST_00102,Bonds,15.08,4727.18,7.69,46-60,High
CUST_00102,Real Estate,38.04,29581.39,8.54,60+,Very High
CUST_00102,Commodities,18.19,47192.53,8.23,46-60,Very High
CUST_00103,Stocks,20.27,75288.86,1.83,31-45,Low
CUST_00103,Bonds,16.2,90108.16,3.71,60+,Medium
CUST_00103,Real Estate,30.74,99236.2,1.02,31-45,Low
CUST_00103,Commodities,32.79,92591.3,3.06,46-60,Medium
CUST_00104,Stocks,12.64,49471.53,6.26,18-30,High
CUST_00104,Bonds,28.11,51009.52,8.64,60+,Very High
CUST_00104,Real Estate,15.35,57162.95,7.73,46-60,High
CUST_00104,Commodities,43.9,92716.0,2.18,60+,Low
CUST_00105,Stocks,28.22,13323.75,8.84,60+,Very High
CUST_00105,Bonds,24.12,63075.59,2.99,18-30,Low
CUST_00105,Real Estate,7.08,35421.19,7.55,31-45,High
CUST_00105,Commodities,40.57,84445.11,4.49,46-60,Medium
CUST_00106,Stocks,39.27,52141.16,2.18,18-30,Low
CUST_00106,Bonds,27.45,38933.09,7.12,60+,High
CUST_00106,Real Estate,7.77,54858.28,2.69,18-30,Low
CUST_00106,Commodities,25.5,16305.86,6.25,18-30,High
CUST_00107,Stocks,20.84,84396.52,4.75,46-60,Medium
CUST_00107,Bonds,5.13,94889.94,7.71,18-30,High
CUST_00107,Real Estate,8.1,3501.36,9.92,60+,Very High
CUST_00107,Commodities,65.93,33295.72,4.53,31-45,Medium
CUST_00108,Stocks,11.9,71292.55,5.72,31-45,Medium
CUST_00108,Bonds,22.78,65365.54,5.63,46-60,Medium
CUST_00108,Real Estate,36.36,75308.62,7.84,46-60,High
